#q_sq i k_sq z Re(w) Im(w)
1e-06 1 0.00012452 -0.617876 0.132932 0
1e-06 1 0.00012452 -0.458017 0.132835 0
1e-06 1 0.00012452 -0.281604 0.132653 0
1e-06 1 0.00012452 -0.0950125 0.13176 0
1e-06 1 0.00012452 0.0950125 0.13176 0
1e-06 1 0.00012452 0.281604 0.132653 0
1e-06 1 0.00012452 0.458017 0.132835 0
1e-06 1 0.00012452 0.617876 0.132932 0
1e-06 1 0.00012452 0.755404 0.133004 0
1e-06 1 0.00012452 0.865631 0.133015 0
1e-06 1 0.00012452 0.944575 0.132607 0
1e-06 1 0.00012452 0.989401 0.132444 0
1e-06 1 0.00019307 -0.989401 0.132314 0
1e-06 1 0.00019307 -0.944575 0.132174 0
1e-06 1 0.00019307 -0.865631 0.131895 0
1e-06 1 0.00019307 -0.755404 0.131971 0
1e-06 1 0.00019307 -0.617876 0.132489 0
1e-06 1 0.00019307 -0.458017 0.133504 0
1e-06 1 0.00019307 -0.281604 0.134942 0
1e-06 1 0.00019307 -0.0950125 0.134925 0
1e-06 1 0.00019307 0.0950125 0.134925 0
1e-06 1 0.00019307 0.281604 0.134942 0
1e-06 1 0.00019307 0.458017 0.133504 0
1e-06 1 0.00019307 0.617876 0.132489 0
1e-06 1 0.00019307 0.755404 0.131971 0
1e-06 1 0.00019307 0.865631 0.131895 0
1e-06 1 0.00019307 0.944575 0.132174 0
1e-06 1 0.00019307 0.989401 0.132314 0
1e-06 1 0.000299358 -0.989401 0.132946 0
1e-06 1 0.000299358 -0.944575 0.133001 0
1e-06 1 0.000299358 -0.865631 0.133113 0
1e-06 1 0.000299358 -0.755404 0.13277 0
1e-06 1 0.000299358 -0.617876 0.131784 0
1e-06 1 0.000299358 -0.458017 0.131562 0
1e-06 1 0.000299358 -0.281604 0.131543 0
1e-06 1 0.000299358 -0.0950125 0.131532 0
1e-06 1 0.000299358 0.0950125 0.131532 0
1e-06 1 0.000299358 0.281604 0.131543 0
1e-06 1 0.000299358 0.458017 0.131562 0
1e-06 1 0.000299358 0.617876 0.131784 0
1e-06 1 0.000299358 0.755404 0.13277 0
