#q_sq i k_sq Re(w) Im(w)
0.00742964 0 1e-06 1.54851 0
0.00742964 0 1.55052e-06 1.54851 0
0.00742964 0 2.4041e-06 1.54851 0
0.00742964 0 3.72759e-06 1.54851 0
0.00742964 0 5.77969e-06 1.54851 0
0.00742964 0 8.96151e-06 1.54851 0
0.00742964 0 1.3895e-05 1.54851 0
0.00742964 0 2.15443e-05 1.54851 0
0.00742964 0 3.34048e-05 1.54851 0
0.00742964 0 5.17947e-05 1.54851 0
0.00742964 0 8.03086e-05 1.54852 0
0.00742964 0 0.00012452 1.54852 0
0.00742964 0 0.00019307 1.54853 0
