#q_sq i k_sq Re(w) Im(w)
1.44974e-05 1 8.03086e-05 0.132956 0
1.44974e-05 1 0.00012452 0.133747 0
1.44974e-05 1 0.00019307 0.132637 0
1.44974e-05 1 0.000299358 0.130085 0
1.44974e-05 1 0.000464159 0.131592 0
1.44974e-05 1 0.000719686 0.135721 0
1.44974e-05 1 0.00111588 0.132921 0
1.44974e-05 1 0.0017302 0.130057 0
1.44974e-05 1 0.0026827 0.127015 0
1.44974e-05 1 0.00415956 0.123603 0
1.44974e-05 1 0.00644947 0.128779 0
1.44974e-05 1 0.01 0.123515 0
1.44974e-05 1 0.0155052 0.115489 0
1.44974e-05 1 0.024041 0.104308 0
1.44974e-05 1 0.0372759 0.0884788 0
1.44974e-05 1 0.0577969 0.0660687 0
1.44974e-05 1 0.0896151 0.0349102 0
1.44974e-05 1 0.13895 -0.00666399 0
1.44974e-05 1 0.215443 -0.0580431 0
1.44974e-05 1 0.334048 -0.113239 0
1.44974e-05 1 0.517947 -0.157957 0
1.44974e-05 1 0.803086 -0.17256 0
1.44974e-05 1 1.2452 -0.151314 0
1.44974e-05 1 1.9307 -0.0970686 0
1.44974e-05 1 2.99358 -0.0527587 0
1.44974e-05 1 4.64159 -0.026509 0
1.44974e-05 1 7.19686 -0.0128186 0
1.44974e-05 1 11.1588 -0.00604514 0
1.44974e-05 1 17.302 -0.00280851 0
1.44974e-05 1 26.827 -0.00129721 0
1.44974e-05 1 41.5956 -0.00060052 0
1.44974e-05 1 64.4947 -0.000280605 0
1.44974e-05 1 100 -0.000134434 0
1.44974e-05 1 155.052 -6.83809e-05 0
1.44974e-05 1 240.41 -3.27801e-05 0
1.44974e-05 1 372.759 -1.48445e-05 0
1.44974e-05 1 577.969 -6.9377e-06 0
1.44974e-05 1 896.151 -3.76268e-06 0
1.44974e-05 1 1389.5 -2.17744e-06 0
1.44974e-05 1 2154.43 -1.24608e-06 0
1.44974e-05 1 3340.48 -7.30385e-07 0
1.44974e-05 1 5179.47 -4.29994e-07 0
1.44974e-05 1 8030.86 -2.50049e-07 0
1.44974e-05 1 12452 -1.48629e-07 0
1.44974e-05 1 19307 -8.86924e-08 0
1.44974e-05 1 29935.8 -5.23609e-08 0
1.44974e-05 1 46415.9 -3.14881e-08 0
1.44974e-05 1 71968.6 -1.8749e-08 0
1.44974e-05 1 111588 -1.13496e-08 0
1.44974e-05 1 173020 -6.80908e-09 0
1.44974e-05 1 268270 -4.15002e-09 0
1.44974e-05 1 415956 -2.48954e-09 0
1.44974e-05 1 644947 -1.52562e-09 0
1.44974e-05 1 1e+06 -9.23426e-10 0

3.53498e-05 1 1e-06 0.132643 0
3.53498e-05 1 1.55052e-06 0.132616 0
3.53498e-05 1 2.4041e-06 0.132834 0
3.53498e-05 1 3.72759e-06 0.132992 0
3.53498e-05 1 5.77969e-06 0.133136 0
3.53498e-05 1 8.96151e-06 0.132488 0
3.53498e-05 1 1.3895e-05 0.132636 0
3.53498e-05 1 2.15443e-05 0.132914 0
3.53498e-05 1 3.34048e-05 0.132996 0
3.53498e-05 1 5.17947e-05 0.132398 0
3.53498e-05 1 8.03086e-05 0.133312 0
3.53498e-05 1 0.00012452 0.133127 0
3.53498e-05 1 0.00019307 0.132603 0
3.53498e-05 1 0.000299358 0.132372 0
3.53498e-05 1 0.000464159 0.132958 0
3.53498e-05 1 0.000719686 0.134761 0
3.53498e-05 1 0.00111588 0.132312 0
3.53498e-05 1 0.0017302 0.129672 0
3.53498e-05 1 0.0026827 0.126772 0
3.53498e-05 1 0.00415956 0.124311 0
3.53498e-05 1 0.00644947 0.127702 0
3.53498e-05 1 0.01 0.123451 0
3.53498e-05 1 0.0155052 0.11545 0
3.53498e-05 1 0.024041 0.104286 0
3.53498e-05 1 0.0372759 0.0884665 0
3.53498e-05 1 0.0577969 0.0660628 0
3.53498e-05 1 0.0896151 0.0349082 0
3.53498e-05 1 0.13895 -0.00666375 0
3.53498e-05 1 0.215443 -0.0580417 0
3.53498e-05 1 0.334048 -0.113237 0
3.53498e-05 1 0.517947 -0.157955 0
3.53498e-05 1 0.803086 -0.172559 0
3.53498e-05 1 1.2452 -0.151313 0
3.53498e-05 1 1.9307 -0.0970684 0
3.53498e-05 1 2.99358 -0.0527586 0
3.53498e-05 1 4.64159 -0.026509 0
3.53498e-05 1 7.19686 -0.0128186 0
3.53498e-05 1 11.1588 -0.00604514 0
3.53498e-05 1 17.302 -0.00280851 0
3.53498e-05 1 26.827 -0.00129721 0
3.53498e-05 1 41.5956 -0.00060052 0
3.53498e-05 1 64.4947 -0.000280605 0
3.53498e-05 1 100 -0.000134434 0
3.53498e-05 1 155.052 -6.83809e-05 0
3.53498e-05 1 240.41 -3.27801e-05 0
3.53498e-05 1 372.759 -1.48445e-05 0
3.53498e-05 1 577.969 -6.9377e-06 0
3.53498e-05 1 896.151 -3.76268e-06 0
3.53498e-05 1 1389.5 -2.17744e-06 0
3.53498e-05 1 2154.43 -1.24608e-06 0
3.53498e-05 1 3340.48 -7.30385e-07 0
3.53498e-05 1 5179.47 -4.29994e-07 0
3.53498e-05 1 8030.86 -2.50049e-07 0
3.53498e-05 1 12452 -1.48629e-07 0
3.53498e-05 1 19307 -8.86924e-08 0
3.53498e-05 1 29935.8 -5.23609e-08 0
3.53498e-05 1 46415.9 -3.14881e-08 0
3.53498e-05 1 71968.6 -1.8749e-08 0
3.53498e-05 1 111588 -1.13496e-08 0
3.53498e-05 1 173020 -6.80908e-09 0
3.53498e-05 1 268270 -4.1426e-09 0
3.53498e-05 1 415956 -2.48954e-09 0
3.53498e-05 1 644947 -1.52562e-09 0
3.53498e-05 1 1e+06 -9.23426e-10 0

8.61954e-05 1 1e-06 0.132913 0
8.61954e-05 1 1.55052e-06 0.132669 0
8.61954e-05 1 2.4041e-06 0.133352 0
8.61954e-05 1 3.72759e-06 0.132455 0
8.61954e-05 1 5.77969e-06 0.132824 0
8.61954e-05 1 8.96151e-06 0.132869 0
8.61954e-05 1 1.3895e-05 0.133007 0
8.61954e-05 1 2.15443e-05 0.132492 0
8.61954e-05 1 3.34048e-05 0.132428 0
8.61954e-05 1 5.17947e-05 0.13294 0
8.61954e-05 1 8.03086e-05 0.132844 0
8.61954e-05 1 0.00012452 0.13332 0
8.61954e-05 1 0.00019307 0.132904 0
8.61954e-05 1 0.000299358 0.131951 0
8.61954e-05 1 0.000464159 0.132587 0
8.61954e-05 1 0.000719686 0.132476 0
8.61954e-05 1 0.00111588 0.13085 0
8.61954e-05 1 0.0017302 0.128742 0
8.61954e-05 1 0.0026827 0.1266 0
8.61954e-05 1 0.00415956 0.12665 0
8.61954e-05 1 0.00644947 0.127147 0
8.61954e-05 1 0.01 0.123297 0
8.61954e-05 1 0.0155052 0.115357 0
8.61954e-05 1 0.024041 0.104232 0
8.61954e-05 1 0.0372759 0.0884367 0
8.61954e-05 1 0.0577969 0.0660484 0
8.61954e-05 1 0.0896151 0.0349033 0
8.61954e-05 1 0.13895 -0.00666314 0
8.61954e-05 1 0.215443 -0.0580383 0
8.61954e-05 1 0.334048 -0.113233 0
8.61954e-05 1 0.517947 -0.157951 0
8.61954e-05 1 0.803086 -0.172556 0
8.61954e-05 1 1.2452 -0.151312 0
8.61954e-05 1 1.9307 -0.0970677 0
8.61954e-05 1 2.99358 -0.0527584 0
8.61954e-05 1 4.64159 -0.0265089 0
8.61954e-05 1 7.19686 -0.0128185 0
8.61954e-05 1 11.1588 -0.00604513 0
8.61954e-05 1 17.302 -0.00280851 0
8.61954e-05 1 26.827 -0.00129721 0
8.61954e-05 1 41.5956 -0.000600519 0
8.61954e-05 1 64.4947 -0.000280605 0
8.61954e-05 1 100 -0.000134434 0
8.61954e-05 1 155.052 -6.83809e-05 0
8.61954e-05 1 240.41 -3.27801e-05 0
8.61954e-05 1 372.759 -1.48445e-05 0
8.61954e-05 1 577.969 -6.9377e-06 0
8.61954e-05 1 896.151 -3.76268e-06 0
8.61954e-05 1 1389.5 -2.17744e-06 0
8.61954e-05 1 2154.43 -1.24608e-06 0
8.61954e-05 1 3340.48 -7.30385e-07 0
8.61954e-05 1 5179.47 -4.29994e-07 0
8.61954e-05 1 8030.86 -2.50049e-07 0
8.61954e-05 1 12452 -1.48629e-07 0
8.61954e-05 1 19307 -8.86924e-08 0
8.61954e-05 1 29935.8 -5.23609e-08 0
8.61954e-05 1 46415.9 -3.14881e-08 0
8.61954e-05 1 71968.6 -1.8749e-08 0
8.61954e-05 1 111588 -1.13496e-08 0
8.61954e-05 1 173020 -6.80908e-09 0
8.61954e-05 1 268270 -4.13619e-09 0
8.61954e-05 1 415956 -2.48954e-09 0
