#q_sq i k_sq Re(fg) Im(fg)
3.53498e-05 5 1.55052e-06 -3.27021e+08 -0
3.53498e-05 5 2.4041e-06 -2.10911e+08 -0
3.53498e-05 5 3.72759e-06 -1.36026e+08 -0
3.53498e-05 5 5.77969e-06 -8.77293e+07 -0
3.53498e-05 5 8.96151e-06 -5.65805e+07 -0
3.53498e-05 5 1.3895e-05 -3.64912e+07 -0
3.53498e-05 5 2.15443e-05 -2.35347e+07 -0
3.53498e-05 5 3.34048e-05 -1.51784e+07 -0
3.53498e-05 5 5.17947e-05 -9.7891e+06 -0
3.53498e-05 5 8.03086e-05 -6.31326e+06 -0
3.53498e-05 5 0.00012452 -4.07152e+06 -0
3.53498e-05 5 0.00019307 -2.62573e+06 -0
3.53498e-05 5 0.000299358 -1.69326e+06 -0
3.53498e-05 5 0.000464159 -1.09187e+06 -0
3.53498e-05 5 0.000719686 -704011 -0
3.53498e-05 5 0.00111588 -453861 -0
3.53498e-05 5 0.0017302 -292528 -0
3.53498e-05 5 0.0026827 -188478 -0
3.53498e-05 5 0.00415956 -121374 -0
3.53498e-05 5 0.00644947 -78098.2 -0
3.53498e-05 5 0.01 -50192.7 -0
3.53498e-05 5 0.0155052 -32202.6 -0
3.53498e-05 5 0.024041 -20611.1 -0
3.53498e-05 5 0.0372759 -13151.7 -0
3.53498e-05 5 0.0577969 -8363.86 -0
3.53498e-05 5 0.0896151 -5306.6 -0
3.53498e-05 5 0.13895 -3371.07 -0
3.53498e-05 5 0.215443 -2156.14 -0
3.53498e-05 5 0.334048 -1387.38 -0
3.53498e-05 5 0.517947 -871.578 -0
3.53498e-05 5 0.803086 -498.898 -0
3.53498e-05 5 1.2452 -256.445 -0
3.53498e-05 5 1.9307 -117.467 -0
3.53498e-05 5 2.99358 -22.2685 -0
3.53498e-05 5 4.64159 12.1787 -0
3.53498e-05 5 7.19686 6.10271 -0
3.53498e-05 5 11.1588 14.2944 -0
3.53498e-05 5 17.302 3.27166 -0
3.53498e-05 5 26.827 -2.56396 -0
3.53498e-05 5 41.5956 -1.81163 -0
3.53498e-05 5 64.4947 -1.09373 -0
3.53498e-05 5 100 -0.685365 -0
3.53498e-05 5 155.052 -0.390199 -0
3.53498e-05 5 240.41 -0.217853 -0
3.53498e-05 5 372.759 -0.135036 -0
3.53498e-05 5 577.969 -0.0787373 -0
3.53498e-05 5 896.151 -0.0410218 -0
3.53498e-05 5 1389.5 -0.0231829 -0
3.53498e-05 5 2154.43 -0.0132126 -0
3.53498e-05 5 3340.48 -0.00724414 -0
3.53498e-05 5 5179.47 -0.00379264 -0
3.53498e-05 5 8030.86 -0.00180751 -0
3.53498e-05 5 12452 -0.000872514 -0
3.53498e-05 5 19307 -0.000408363 -0
3.53498e-05 5 29935.8 -0.000170117 -0
3.53498e-05 5 46415.9 -5.91977e-05 -0
3.53498e-05 5 71968.6 -9.69653e-06 -0
3.53498e-05 5 111588 1.07525e-05 -0
3.53498e-05 5 173020 9.36732e-06 -0
3.53498e-05 5 268270 8.59657e-06 -0
3.53498e-05 5 415956 5.81251e-06 -0
3.53498e-05 5 644947 3.24106e-06 -0
3.53498e-05 5 1e+06 5.48475e-07 -0

8.61954e-05 5 1e-06 -2.07949e+08 -0
8.61954e-05 5 1.55052e-06 -1.34116e+08 -0
8.61954e-05 5 2.4041e-06 -8.64977e+07 -0
8.61954e-05 5 3.72759e-06 -5.57863e+07 -0
8.61954e-05 5 5.77969e-06 -3.59791e+07 -0
8.61954e-05 5 8.96151e-06 -2.32045e+07 -0
8.61954e-05 5 1.3895e-05 -1.49656e+07 -0
8.61954e-05 5 2.15443e-05 -9.65195e+06 -0
8.61954e-05 5 3.34048e-05 -6.22491e+06 -0
8.61954e-05 5 5.17947e-05 -4.01466e+06 -0
8.61954e-05 5 8.03086e-05 -2.58916e+06 -0
8.61954e-05 5 0.00012452 -1.66979e+06 -0
8.61954e-05 5 0.00019307 -1.07685e+06 -0
8.61954e-05 5 0.000299358 -694433 -0
8.61954e-05 5 0.000464159 -447794 -0
8.61954e-05 5 0.000719686 -288726 -0
8.61954e-05 5 0.00111588 -186135 -0
8.61954e-05 5 0.0017302 -119970 -0
8.61954e-05 5 0.0026827 -77297.5 -0
8.61954e-05 5 0.00415956 -49777 -0
8.61954e-05 5 0.00644947 -32029 -0
8.61954e-05 5 0.01 -20584.5 -0
8.61954e-05 5 0.0155052 -13206.5 -0
8.61954e-05 5 0.024041 -8452.67 -0
8.61954e-05 5 0.0372759 -5393.46 -0
8.61954e-05 5 0.0577969 -3429.89 -0
8.61954e-05 5 0.0896151 -2176.08 -0
8.61954e-05 5 0.13895 -1382.31 -0
8.61954e-05 5 0.215443 -884.084 -0
8.61954e-05 5 0.334048 -568.846 -0
8.61954e-05 5 0.517947 -357.361 -0
8.61954e-05 5 0.803086 -204.568 -0
8.61954e-05 5 1.2452 -105.16 -0
8.61954e-05 5 1.9307 -48.1697 -0
8.61954e-05 5 2.99358 -9.1308 -0
8.61954e-05 5 4.64159 4.99524 -0
8.61954e-05 5 7.19686 2.50299 -0
8.61954e-05 5 11.1588 5.86235 -0
8.61954e-05 5 17.302 1.34178 -0
8.61954e-05 5 26.827 -1.0515 -0
8.61954e-05 5 41.5956 -0.742967 -0
8.61954e-05 5 64.4947 -0.448551 -0
8.61954e-05 5 100 -0.281075 -0
8.61954e-05 5 155.052 -0.160025 -0
8.61954e-05 5 240.41 -0.0893441 -0
8.61954e-05 5 372.759 -0.05538 -0
8.61954e-05 5 577.969 -0.0322911 -0
8.61954e-05 5 896.151 -0.0168235 -0
8.61954e-05 5 1389.5 -0.00950759 -0
8.61954e-05 5 2154.43 -0.00541866 -0
8.61954e-05 5 3340.48 -0.00297091 -0
8.61954e-05 5 5179.47 -0.00155541 -0
8.61954e-05 5 8030.86 -0.000741283 -0
8.61954e-05 5 12452 -0.000357829 -0
8.61954e-05 5 19307 -0.000167475 -0
8.61954e-05 5 29935.8 -6.9767e-05 -0
8.61954e-05 5 46415.9 -2.42777e-05 -0
8.61954e-05 5 71968.6 -3.97667e-06 -0
8.61954e-05 5 111588 4.40974e-06 -0
8.61954e-05 5 173020 3.84166e-06 -0
8.61954e-05 5 268270 3.52556e-06 -0
8.61954e-05 5 415956 2.38379e-06 -0
8.61954e-05 5 644947 1.3292e-06 -0
8.61954e-05 5 1e+06 2.24936e-07 -0

0.000210175 5 1e-06 -8.52842e+07 -0
0.000210175 5 1.55052e-06 -5.50037e+07 -0
0.000210175 5 2.4041e-06 -3.54744e+07 -0
0.000210175 5 3.72759e-06 -2.28791e+07 -0
0.000210175 5 5.77969e-06 -1.47558e+07 -0
0.000210175 5 8.96151e-06 -9.51665e+06 -0
0.000210175 5 1.3895e-05 -6.1377e+06 -0
0.000210175 5 2.15443e-05 -3.95846e+06 -0
0.000210175 5 3.34048e-05 -2.55296e+06 -0
0.000210175 5 5.17947e-05 -1.64649e+06 -0
0.000210175 5 8.03086e-05 -1.06187e+06 -0
0.000210175 5 0.00012452 -684815 -0
0.000210175 5 0.00019307 -441637 -0
0.000210175 5 0.000299358 -284800 -0
0.000210175 5 0.000464159 -183649 -0
0.000210175 5 0.000719686 -118412 -0
0.000210175 5 0.00111588 -76337.3 -0
0.000210175 5 0.0017302 -49201.7 -0
0.000210175 5 0.0026827 -31700.9 -0
0.000210175 5 0.00415956 -20414.2 -0
0.000210175 5 0.00644947 -13135.4 -0
0.000210175 5 0.01 -8441.76 -0
0.000210175 5 0.0155052 -5415.89 -0
0.000210175 5 0.024041 -3466.27 -0
0.000210175 5 0.0372759 -2211.64 -0
0.000210175 5 0.0577969 -1406.36 -0
0.000210175 5 0.0896151 -892.178 -0
0.000210175 5 0.13895 -566.679 -0
0.000210175 5 0.215443 -362.397 -0
0.000210175 5 0.334048 -233.169 -0
0.000210175 5 0.517947 -146.489 -0
0.000210175 5 0.803086 -83.8664 -0
0.000210175 5 1.2452 -43.1169 -0
0.000210175 5 1.9307 -19.7499 -0
0.000210175 5 2.99358 -3.74285 -0
0.000210175 5 4.64159 2.0492 -0
0.000210175 5 7.19686 1.0267 -0
0.000210175 5 11.1588 2.40427 -0
0.000210175 5 17.302 0.550307 -0
0.000210175 5 26.827 -0.431217 -0
0.000210175 5 41.5956 -0.304693 -0
0.000210175 5 64.4947 -0.183953 -0
0.000210175 5 100 -0.115271 -0
0.000210175 5 155.052 -0.0656274 -0
0.000210175 5 240.41 -0.0366408 -0
0.000210175 5 372.759 -0.0227119 -0
0.000210175 5 577.969 -0.0132429 -0
0.000210175 5 896.151 -0.00689951 -0
0.000210175 5 1389.5 -0.00389917 -0
0.000210175 5 2154.43 -0.00222226 -0
0.000210175 5 3340.48 -0.00121841 -0
0.000210175 5 5179.47 -0.000637893 -0
0.000210175 5 8030.86 -0.000304009 -0
0.000210175 5 12452 -0.00014675 -0
0.000210175 5 19307 -6.86835e-05 -0
0.000210175 5 29935.8 -2.86123e-05 -0
0.000210175 5 46415.9 -9.9566e-06 -0
0.000210175 5 71968.6 -1.63088e-06 -0
0.000210175 5 111588 1.80849e-06 -0
0.000210175 5 173020 1.57551e-06 -0
0.000210175 5 268270 1.44588e-06 -0
0.000210175 5 415956 9.77621e-07 -0
0.000210175 5 644947 5.45122e-07 -0
0.000210175 5 1e+06 9.22493e-08 -0

0.000512481 5 1e-06 -3.49778e+07 -0
0.000512481 5 1.55052e-06 -2.25588e+07 -0
0.000512481 5 2.4041e-06 -1.45492e+07 -0
0.000512481 5 3.72759e-06 -9.38344e+06 -0
0.000512481 5 5.77969e-06 -6.05181e+06 -0
0.000512481 5 8.96151e-06 -3.90308e+06 -0
0.000512481 5 1.3895e-05 -2.51726e+06 -0
0.000512481 5 2.15443e-05 -1.62349e+06 -0
0.000512481 5 3.34048e-05 -1.04705e+06 -0
0.000512481 5 5.17947e-05 -675278 -0
0.000512481 5 8.03086e-05 -435505 -0
