#q_sq i k_sq z Re(w) Im(w)
1e-06 2 0.00644947 -0.0950125 -1.0473 0
1e-06 2 0.00644947 0.0950125 -1.0473 0
1e-06 2 0.00644947 0.281604 -1.0473 0
1e-06 2 0.00644947 0.458017 -1.0473 0
1e-06 2 0.00644947 0.617876 -1.0473 0
1e-06 2 0.00644947 0.755404 -1.0473 0
1e-06 2 0.00644947 0.865631 -1.0473 0
1e-06 2 0.00644947 0.944575 -1.0473 0
1e-06 2 0.00644947 0.989401 -1.0473 0
1e-06 2 0.01 -0.989401 -1.04663 0
1e-06 2 0.01 -0.944575 -1.04663 0
1e-06 2 0.01 -0.865631 -1.04663 0
1e-06 2 0.01 -0.755404 -1.04663 0
1e-06 2 0.01 -0.617876 -1.04663 0
1e-06 2 0.01 -0.458017 -1.04663 0
1e-06 2 0.01 -0.281604 -1.04663 0
1e-06 2 0.01 -0.0950125 -1.04663 0
1e-06 2 0.01 0.0950125 -1.04663 0
1e-06 2 0.01 0.281604 -1.04663 0
1e-06 2 0.01 0.458017 -1.04663 0
1e-06 2 0.01 0.617876 -1.04663 0
1e-06 2 0.01 0.755404 -1.04663 0
1e-06 2 0.01 0.865631 -1.04663 0
1e-06 2 0.01 0.944575 -1.04663 0
1e-06 2 0.01 0.989401 -1.04663 0
1e-06 2 0.0155052 -0.989401 -1.04534 0
1e-06 2 0.0155052 -0.944575 -1.04534 0
1e-06 2 0.0155052 -0.865631 -1.04534 0
1e-06 2 0.0155052 -0.755404 -1.04534 0
1e-06 2 0.0155052 -0.617876 -1.04534 0
1e-06 2 0.0155052 -0.458017 -1.04534 0
1e-06 2 0.0155052 -0.281604 -1.04534 0
1e-06 2 0.0155052 -0.0950125 -1.04534 0
1e-06 2 0.0155052 0.0950125 -1.04534 0
1e-06 2 0.0155052 0.281604 -1.04534 0
1e-06 2 0.0155052 0.458017 -1.04534 0
1e-06 2 0.0155052 0.617876 -1.04534 0
1e-06 2 0.0155052 0.755404 -1.04534 0
1e-06 2 0.0155052 0.865631 -1.04534 0
1e-06 2 0.0155052 0.944575 -1.04534 0
1e-06 2 0.0155052 0.989401 -1.04534 0
1e-06 2 0.024041 -0.989401 -1.04269 0
1e-06 2 0.024041 -0.944575 -1.04269 0
1e-06 2 0.024041 -0.865631 -1.04269 0
1e-06 2 0.024041 -0.755404 -1.04269 0
1e-06 2 0.024041 -0.617876 -1.04269 0
1e-06 2 0.024041 -0.458017 -1.04269 0
1e-06 2 0.024041 -0.281604 -1.04269 0
1e-06 2 0.024041 -0.0950125 -1.04269 0
1e-06 2 0.024041 0.0950125 -1.04269 0
1e-06 2 0.024041 0.281604 -1.04269 0
1e-06 2 0.024041 0.458017 -1.04269 0
1e-06 2 0.024041 0.617876 -1.04269 0
1e-06 2 0.024041 0.755404 -1.04269 0
1e-06 2 0.024041 0.865631 -1.04269 0
1e-06 2 0.024041 0.944575 -1.04269 0
1e-06 2 0.024041 0.989401 -1.04269 0
1e-06 2 0.0372759 -0.989401 -1.03719 0
1e-06 2 0.0372759 -0.944575 -1.03719 0
1e-06 2 0.0372759 -0.865631 -1.03719 0
1e-06 2 0.0372759 -0.755404 -1.03719 0
1e-06 2 0.0372759 -0.617876 -1.03719 0
1e-06 2 0.0372759 -0.458017 -1.03719 0
1e-06 2 0.0372759 -0.281604 -1.03719 0
1e-06 2 0.0372759 -0.0950125 -1.03719 0
1e-06 2 0.0372759 0.0950125 -1.03719 0
1e-06 2 0.0372759 0.281604 -1.03719 0
1e-06 2 0.0372759 0.458017 -1.03719 0
1e-06 2 0.0372759 0.617876 -1.03719 0
1e-06 2 0.0372759 0.755404 -1.03719 0
1e-06 2 0.0372759 0.865631 -1.03719 0
1e-06 2 0.0372759 0.944575 -1.03719 0
1e-06 2 0.0372759 0.989401 -1.03719 0
1e-06 2 0.0577969 -0.989401 -1.02566 0
1e-06 2 0.0577969 -0.944575 -1.02566 0
1e-06 2 0.0577969 -0.865631 -1.02566 0
1e-06 2 0.0577969 -0.755404 -1.02566 0
1e-06 2 0.0577969 -0.617876 -1.02566 0
1e-06 2 0.0577969 -0.458017 -1.02566 0
1e-06 2 0.0577969 -0.281604 -1.02566 0
1e-06 2 0.0577969 -0.0950125 -1.02566 0
1e-06 2 0.0577969 0.0950125 -1.02566 0
1e-06 2 0.0577969 0.281604 -1.02566 0
1e-06 2 0.0577969 0.458017 -1.02566 0
