#q_sq i k_sq Re(w) Im(w)
0.00124961 0 2.15443e-05 1.59288 0
0.00124961 0 3.34048e-05 1.59288 0
0.00124961 0 5.17947e-05 1.59288 0
0.00124961 0 8.03086e-05 1.59289 0
0.00124961 0 0.00012452 1.5929 0
0.00124961 0 0.00019307 1.59291 0
0.00124961 0 0.000299358 1.59293 0
0.00124961 0 0.000464159 1.59296 0
0.00124961 0 0.000719686 1.59301 0
0.00124961 0 0.00111588 1.59309 0
0.00124961 0 0.0017302 1.59321 0
0.00124961 0 0.0026827 1.5934 0
0.00124961 0 0.00415956 1.59368 0
0.00124961 0 0.00644947 1.5941 0
0.00124961 0 0.01 1.59471 0
0.00124961 0 0.0155052 1.59559 0
0.00124961 0 0.024041 1.59677 0
0.00124961 0 0.0372759 1.59818 0
0.00124961 0 0.0577969 1.59946 0
0.00124961 0 0.0896151 1.59958 0
0.00124961 0 0.13895 1.5962 0
0.00124961 0 0.215443 1.58517 0
0.00124961 0 0.334048 1.56112 0
0.00124961 0 0.517947 1.52037 0
0.00124961 0 0.803086 1.46494 0
0.00124961 0 1.2452 1.40129 0
0.00124961 0 1.9307 1.33415 0
0.00124961 0 2.99358 1.26481 0
0.00124961 0 4.64159 1.19495 0
0.00124961 0 7.19686 1.12972 0
0.00124961 0 11.1588 1.07741 0
0.00124961 0 17.302 1.04413 0
0.00124961 0 26.827 1.02729 0
0.00124961 0 41.5956 1.01842 0
0.00124961 0 64.4947 1.01204 0
0.00124961 0 100 1.00679 0
0.00124961 0 155.052 1.00237 0
0.00124961 0 240.41 0.998592 0
0.00124961 0 372.759 0.995333 0
0.00124961 0 577.969 0.99249 0
0.00124961 0 896.151 0.989988 0
0.00124961 0 1389.5 0.987768 0
0.00124961 0 2154.43 0.985783 0
0.00124961 0 3340.48 0.983999 0
0.00124961 0 5179.47 0.982386 0
0.00124961 0 8030.86 0.98092 0
0.00124961 0 12452 0.979581 0
0.00124961 0 19307 0.978354 0
0.00124961 0 29935.8 0.977224 0
0.00124961 0 46415.9 0.976182 0
0.00124961 0 71968.6 0.975216 0
0.00124961 0 111588 0.97432 0
0.00124961 0 173020 0.973485 0
0.00124961 0 268270 0.972705 0
0.00124961 0 415956 0.971975 0
0.00124961 0 644947 0.971291 0
0.00124961 0 1e+06 0.970649 0

0.00304699 0 1e-06 1.59296 0
0.00304699 0 1.55052e-06 1.59296 0
0.00304699 0 2.4041e-06 1.59296 0
0.00304699 0 3.72759e-06 1.59296 0
0.00304699 0 5.77969e-06 1.59296 0
0.00304699 0 8.96151e-06 1.59296 0
0.00304699 0 1.3895e-05 1.59296 0
0.00304699 0 2.15443e-05 1.59297 0
0.00304699 0 3.34048e-05 1.59297 0
0.00304699 0 5.17947e-05 1.59297 0
0.00304699 0 8.03086e-05 1.59298 0
0.00304699 0 0.00012452 1.59299 0
0.00304699 0 0.00019307 1.593 0
0.00304699 0 0.000299358 1.59302 0
0.00304699 0 0.000464159 1.59305 0
0.00304699 0 0.000719686 1.5931 0
0.00304699 0 0.00111588 1.59318 0
0.00304699 0 0.0017302 1.5933 0
0.00304699 0 0.0026827 1.59348 0
0.00304699 0 0.00415956 1.59376 0
0.00304699 0 0.00644947 1.59418 0
0.00304699 0 0.01 1.59479 0
0.00304699 0 0.0155052 1.59566 0
0.00304699 0 0.024041 1.59682 0
0.00304699 0 0.0372759 1.59822 0
0.00304699 0 0.0577969 1.59948 0
0.00304699 0 0.0896151 1.59957 0
