#q_sq i k_sq z Re(w) Im(w)
1e-06 1 8.03086e-05 0.458017 0.20135 0
1e-06 1 8.03086e-05 0.617876 0.20135 0
1e-06 1 8.03086e-05 0.755404 0.20135 0
1e-06 1 8.03086e-05 0.865631 0.20135 0
1e-06 1 8.03086e-05 0.944575 0.20135 0
1e-06 1 8.03086e-05 0.989401 0.20135 0
1e-06 1 0.00012452 -0.989401 0.201201 0
1e-06 1 0.00012452 -0.944575 0.201201 0
1e-06 1 0.00012452 -0.865631 0.201201 0
1e-06 1 0.00012452 -0.755404 0.201201 0
1e-06 1 0.00012452 -0.617876 0.201201 0
1e-06 1 0.00012452 -0.458017 0.201201 0
1e-06 1 0.00012452 -0.281604 0.201201 0
1e-06 1 0.00012452 -0.0950125 0.201201 0
1e-06 1 0.00012452 0.0950125 0.201201 0
1e-06 1 0.00012452 0.281604 0.201201 0
1e-06 1 0.00012452 0.458017 0.201201 0
1e-06 1 0.00012452 0.617876 0.201201 0
1e-06 1 0.00012452 0.755404 0.201201 0
1e-06 1 0.00012452 0.865631 0.201201 0
1e-06 1 0.00012452 0.944575 0.201201 0
1e-06 1 0.00012452 0.989401 0.201201 0
1e-06 1 0.00019307 -0.989401 0.200969 0
1e-06 1 0.00019307 -0.944575 0.200969 0
1e-06 1 0.00019307 -0.865631 0.200969 0
1e-06 1 0.00019307 -0.755404 0.200969 0
1e-06 1 0.00019307 -0.617876 0.200969 0
1e-06 1 0.00019307 -0.458017 0.200969 0
1e-06 1 0.00019307 -0.281604 0.200969 0
1e-06 1 0.00019307 -0.0950125 0.200969 0
1e-06 1 0.00019307 0.0950125 0.200969 0
1e-06 1 0.00019307 0.281604 0.200969 0
1e-06 1 0.00019307 0.458017 0.200969 0
1e-06 1 0.00019307 0.617876 0.200969 0
1e-06 1 0.00019307 0.755404 0.200969 0
1e-06 1 0.00019307 0.865631 0.200969 0
1e-06 1 0.00019307 0.944575 0.200969 0
1e-06 1 0.00019307 0.989401 0.200969 0
1e-06 1 0.000299358 -0.989401 0.200611 0
1e-06 1 0.000299358 -0.944575 0.200611 0
1e-06 1 0.000299358 -0.865631 0.200611 0
1e-06 1 0.000299358 -0.755404 0.200611 0
1e-06 1 0.000299358 -0.617876 0.200611 0
1e-06 1 0.000299358 -0.458017 0.200611 0
1e-06 1 0.000299358 -0.281604 0.200611 0
1e-06 1 0.000299358 -0.0950125 0.200611 0
1e-06 1 0.000299358 0.0950125 0.200611 0
1e-06 1 0.000299358 0.281604 0.200611 0
1e-06 1 0.000299358 0.458017 0.200611 0
1e-06 1 0.000299358 0.617876 0.200611 0
1e-06 1 0.000299358 0.755404 0.200611 0
1e-06 1 0.000299358 0.865631 0.200611 0
1e-06 1 0.000299358 0.944575 0.200611 0
1e-06 1 0.000299358 0.989401 0.200611 0
1e-06 1 0.000464159 -0.989401 0.200056 0
1e-06 1 0.000464159 -0.944575 0.200056 0
1e-06 1 0.000464159 -0.865631 0.200056 0
1e-06 1 0.000464159 -0.755404 0.200056 0
1e-06 1 0.000464159 -0.617876 0.200056 0
1e-06 1 0.000464159 -0.458017 0.200056 0
1e-06 1 0.000464159 -0.281604 0.200056 0
1e-06 1 0.000464159 -0.0950125 0.200056 0
1e-06 1 0.000464159 0.0950125 0.200056 0
1e-06 1 0.000464159 0.281604 0.200056 0
1e-06 1 0.000464159 0.458017 0.200056 0
1e-06 1 0.000464159 0.617876 0.200056 0
1e-06 1 0.000464159 0.755404 0.200056 0
1e-06 1 0.000464159 0.865631 0.200056 0
1e-06 1 0.000464159 0.944575 0.200056 0
1e-06 1 0.000464159 0.989401 0.200056 0
1e-06 1 0.000719686 -0.989401 0.199197 0
1e-06 1 0.000719686 -0.944575 0.199197 0
1e-06 1 0.000719686 -0.865631 0.199197 0
1e-06 1 0.000719686 -0.755404 0.199197 0
1e-06 1 0.000719686 -0.617876 0.199197 0
1e-06 1 0.000719686 -0.458017 0.199197 0
1e-06 1 0.000719686 -0.281604 0.199197 0
1e-06 1 0.000719686 -0.0950125 0.199197 0
1e-06 1 0.000719686 0.0950125 0.199197 0
1e-06 1 0.000719686 0.281604 0.199197 0
1e-06 1 0.000719686 0.458017 0.199197 0
1e-06 1 0.000719686 0.617876 0.199197 0
1e-06 1 0.000719686 0.755404 0.199197 0
1e-06 1 0.000719686 0.865631 0.199197 0
1e-06 1 0.000719686 0.944575 0.199197 0
1e-06 1 0.000719686 0.989401 0.199197 0
1e-06 1 0.00111588 -0.989401 0.197867 0
1e-06 1 0.00111588 -0.944575 0.197867 0
1e-06 1 0.00111588 -0.865631 0.197867 0
1e-06 1 0.00111588 -0.755404 0.197867 0
1e-06 1 0.00111588 -0.617876 0.197867 0
1e-06 1 0.00111588 -0.458017 0.197867 0
1e-06 1 0.00111588 -0.281604 0.197867 0
1e-06 1 0.00111588 -0.0950125 0.197867 0
1e-06 1 0.00111588 0.0950125 0.197867 0
1e-06 1 0.00111588 0.281604 0.197867 0
1e-06 1 0.00111588 0.458017 0.197867 0
1e-06 1 0.00111588 0.617876 0.197867 0
1e-06 1 0.00111588 0.755404 0.197867 0
1e-06 1 0.00111588 0.865631 0.197867 0
1e-06 1 0.00111588 0.944575 0.197867 0
1e-06 1 0.00111588 0.989401 0.197867 0
1e-06 1 0.0017302 -0.989401 0.195811 0
1e-06 1 0.0017302 -0.944575 0.195811 0
1e-06 1 0.0017302 -0.865631 0.195811 0
1e-06 1 0.0017302 -0.755404 0.195811 0
1e-06 1 0.0017302 -0.617876 0.195811 0
1e-06 1 0.0017302 -0.458017 0.195811 0
1e-06 1 0.0017302 -0.281604 0.195811 0
1e-06 1 0.0017302 -0.0950125 0.195811 0
1e-06 1 0.0017302 0.0950125 0.195811 0
1e-06 1 0.0017302 0.281604 0.195811 0
1e-06 1 0.0017302 0.458017 0.195811 0
1e-06 1 0.0017302 0.617876 0.195811 0
1e-06 1 0.0017302 0.755404 0.195811 0
1e-06 1 0.0017302 0.865631 0.195811 0
1e-06 1 0.0017302 0.944575 0.195811 0
1e-06 1 0.0017302 0.989401 0.195811 0
1e-06 1 0.0026827 -0.989401 0.192639 0
1e-06 1 0.0026827 -0.944575 0.192639 0
1e-06 1 0.0026827 -0.865631 0.192639 0
1e-06 1 0.0026827 -0.755404 0.192639 0
1e-06 1 0.0026827 -0.617876 0.192639 0
1e-06 1 0.0026827 -0.458017 0.192639 0
1e-06 1 0.0026827 -0.281604 0.192639 0
1e-06 1 0.0026827 -0.0950125 0.192639 0
1e-06 1 0.0026827 0.0950125 0.192639 0
1e-06 1 0.0026827 0.281604 0.192639 0
1e-06 1 0.0026827 0.458017 0.192639 0
1e-06 1 0.0026827 0.617876 0.192639 0
1e-06 1 0.0026827 0.755404 0.192639 0
1e-06 1 0.0026827 0.865631 0.192639 0
1e-06 1 0.0026827 0.944575 0.192639 0
1e-06 1 0.0026827 0.989401 0.192639 0
1e-06 1 0.00415956 -0.989401 0.187758 0
1e-06 1 0.00415956 -0.944575 0.187758 0
1e-06 1 0.00415956 -0.865631 0.187758 0
1e-06 1 0.00415956 -0.755404 0.187758 0
1e-06 1 0.00415956 -0.617876 0.187758 0
1e-06 1 0.00415956 -0.458017 0.187758 0
1e-06 1 0.00415956 -0.281604 0.187758 0
1e-06 1 0.00415956 -0.0950125 0.187758 0
1e-06 1 0.00415956 0.0950125 0.187758 0
1e-06 1 0.00415956 0.281604 0.187758 0
1e-06 1 0.00415956 0.458017 0.187758 0
1e-06 1 0.00415956 0.617876 0.187758 0
1e-06 1 0.00415956 0.755404 0.187758 0
1e-06 1 0.00415956 0.865631 0.187758 0
1e-06 1 0.00415956 0.944575 0.187758 0
1e-06 1 0.00415956 0.989401 0.187758 0
1e-06 1 0.00644947 -0.989401 0.180277 0
1e-06 1 0.00644947 -0.944575 0.180277 0
1e-06 1 0.00644947 -0.865631 0.180277 0
1e-06 1 0.00644947 -0.755404 0.180277 0
1e-06 1 0.00644947 -0.617876 0.180277 0
1e-06 1 0.00644947 -0.458017 0.180277 0
1e-06 1 0.00644947 -0.281604 0.180277 0
1e-06 1 0.00644947 -0.0950125 0.180277 0
1e-06 1 0.00644947 0.0950125 0.180277 0
1e-06 1 0.00644947 0.281604 0.180277 0
1e-06 1 0.00644947 0.458017 0.180277 0
1e-06 1 0.00644947 0.617876 0.180277 0
1e-06 1 0.00644947 0.755404 0.180277 0
1e-06 1 0.00644947 0.865631 0.180277 0
1e-06 1 0.00644947 0.944575 0.180277 0
1e-06 1 0.00644947 0.989401 0.180277 0
1e-06 1 0.01 -0.989401 0.168889 0
1e-06 1 0.01 -0.944575 0.168889 0
1e-06 1 0.01 -0.865631 0.168889 0
1e-06 1 0.01 -0.755404 0.168889 0
1e-06 1 0.01 -0.617876 0.168889 0
1e-06 1 0.01 -0.458017 0.168889 0
1e-06 1 0.01 -0.281604 0.168889 0
1e-06 1 0.01 -0.0950125 0.168889 0
1e-06 1 0.01 0.0950125 0.168889 0
1e-06 1 0.01 0.281604 0.168889 0
1e-06 1 0.01 0.458017 0.168889 0
1e-06 1 0.01 0.617876 0.168889 0
1e-06 1 0.01 0.755404 0.168889 0
1e-06 1 0.01 0.865631 0.168889 0
1e-06 1 0.01 0.944575 0.168889 0
1e-06 1 0.01 0.989401 0.168889 0
1e-06 1 0.0155052 -0.989401 0.151728 0
1e-06 1 0.0155052 -0.944575 0.151728 0
1e-06 1 0.0155052 -0.865631 0.151728 0
1e-06 1 0.0155052 -0.755404 0.151728 0
1e-06 1 0.0155052 -0.617876 0.151728 0
1e-06 1 0.0155052 -0.458017 0.151728 0
1e-06 1 0.0155052 -0.281604 0.151728 0
1e-06 1 0.0155052 -0.0950125 0.151728 0
1e-06 1 0.0155052 0.0950125 0.151728 0
1e-06 1 0.0155052 0.281604 0.151728 0
1e-06 1 0.0155052 0.458017 0.151728 0
1e-06 1 0.0155052 0.617876 0.151728 0
1e-06 1 0.0155052 0.755404 0.151728 0
1e-06 1 0.0155052 0.865631 0.151728 0
1e-06 1 0.0155052 0.944575 0.151728 0
1e-06 1 0.0155052 0.989401 0.151728 0
1e-06 1 0.024041 -0.989401 0.126283 0
1e-06 1 0.024041 -0.944575 0.126283 0
1e-06 1 0.024041 -0.865631 0.126283 0
1e-06 1 0.024041 -0.755404 0.126283 0
1e-06 1 0.024041 -0.617876 0.126283 0
1e-06 1 0.024041 -0.458017 0.126283 0
1e-06 1 0.024041 -0.281604 0.126283 0
1e-06 1 0.024041 -0.0950125 0.126283 0
1e-06 1 0.024041 0.0950125 0.126283 0
1e-06 1 0.024041 0.281604 0.126283 0
1e-06 1 0.024041 0.458017 0.126283 0
1e-06 1 0.024041 0.617876 0.126283 0
